,Institution UKPRN code,Institution name,Main panel,Unit of assessment number,Unit of assessment name,Multiple submission letter,Multiple submission name,Joint submission,Output type,Title,Place,Publisher,Volume title,Volume,Issue,First page,Article number,ISBN,ISSN,DOI,Patent number,Month,Year,URL,Number of additional authors,Non-English,Interdisciplinary,Forensic science,Criminology,Propose double weighting,Is reserve output,Research group,Open access status,Citations applicable,Citation count,Cross-referral requested,Supplementary information,Delayed by COVID19,REF2ID,Incl sig material before 2014,Incl reseach process,Incl factual info about significance
4887,10007792,University of Exeter,B,11,Computer Science and Informatics,,,,D,A calculus for dynamic architectures,,,Science of Computer Programming,182,,1,,,0167-6423,10.1016/j.scico.2019.06.001,,June,2019.0,,0.0,,,,,,,,Deposit exception,Yes,0.0,,,,aca17658-925b-45c2-aef0-c32eae747a90,0,0,1
4895,10007786,University of Bristol,B,11,Computer Science and Informatics,,,,E,A Camera That CNNs : Towards Embedded Neural Networks on Pixel Processor Arrays,,,2019 IEEE/CVF International Conference on Computer Vision (ICCV),,,1335,,,2380-7504,10.1109/ICCV.2019.00142,,February,2020.0,,4.0,,,,,,,C - Visual Information Lab,Compliant,Yes,4.0,,,,21e1ec41-a986-4857-90bd-f6bff748724a,0,0,1
4920,10007140,Birmingham City University,B,11,Computer Science and Informatics,,,,D,A cascade-learning approach for automated segmentation of tumour epithelium in colorectal cancer,,,Expert Systems with Applications,118,,539-552,,,0957-4174,10.1016/j.eswa.2018.10.030,,,2018.0,,,,,,,,,,Technical exception,Yes,8.0,,,,c5ebf14a-6dc6-4e5f-890d-1d99907d4b30,0,0,1
4936,10007803,University of St Andrews,B,11,Computer Science and Informatics,,,,D,A case study in user support for managing OpenSim based multi user learning environments,,,IEEE Transactions on Learning Technologies,10,3,342,,,1939-1382,10.1109/TLT.2016.2632126,,November,2016.0,,2.0,,,,,,,E - Human-Computer Interaction,Compliant,Yes,2.0,,,,e9fb7739-8da3-4117-b215-08ec68651f18,0,0,1
4938,10007794,University of Glasgow,B,11,Computer Science and Informatics,,,,D,A case study of agile software development for large-scale safety-critical systems projects,,,Reliability Engineering and System Safety,200,,,106954,,0951-8320,10.1016/j.ress.2020.106954,,August,2020.0,http://eprints.gla.ac.uk/213345/,1.0,,,,,,,,Compliant,Yes,0.0,,,,31e6033a-8195-4363-964d-5d97a7a92e54,0,0,1
4941,10007154,"University of Nottingham, The",B,11,Computer Science and Informatics,,,,D,A Case Study of Controlling Crossover in a Selection Hyper-heuristic Framework Using the Multidimensional Knapsack Problem,,,Evolutionary Computation,24,1,113,,,1063-6560,10.1162/EVCO_a_00145,,March,2016.0,,2.0,,Yes,,,,,,Out of scope for open access requirements,Yes,15.0,,,,d7a7c111-239d-4bbb-afdb-7edc7298872d,0,0,1
4948,10007850,The University of Bath,B,11,Computer Science and Informatics,,,,E,A case study on the parametric occurrence of multiple steady states,,,ISSAC 2017 - Proceedings of the 2017 ACM International Symposium on Symbolic and Algebraic Computation : Part F129312,,,45,,,,10.1145/3087604.3087622,,July,2017.0,,10.0,,,,,,,,,Yes,14.0,,,,ac5eacbf-21d0-4435-89d6-7a514ec20c9c,0,0,1
4951,10001282,University of Northumbria at Newcastle,B,11,Computer Science and Informatics,,,,D,A Case-Based Reasoning Method for Locating Evidence During Digital Forensic Device Triage,,,Decision Support Systems,61,,69,,,0167-9236,10.1016/j.dss.2014.01.007,,January,2014.0,,2.0,,,,,,,B - Northumbria Social Computing (NorSC),Out of scope for open access requirements,Yes,17.0,,,,c454be87-a5ac-426e-a2ca-720bffedd150,0,0,1
4965,10007774,University of Oxford,B,11,Computer Science and Informatics,,,,D,A categorical semantics for causal structure,,,Logical Methods in Computer Science,15,3,,15,,1860-5974,10.23638/LMCS-15(3:15)2019,,August,2019.0,,1.0,,,,,,,,Compliant,Yes,3.0,,,,1420c7d6-3bad-433c-aa13-9f7f64061e8f,0,0,1
4966,10007784,University College London,B,11,Computer Science and Informatics,,,,E,A categorical semantics of signal flow graphs,,,"Proceedings of CONCUR 2014 (25th International Conference on Concurrency Theory), Lecture Notes in Computer Science",8704 LNCS,,435,,,0302-9743,10.1007/978-3-662-44584-6_30,,September,2014.0,,2.0,,,,,,,,Out of scope for open access requirements,Yes,,,,,c8488660-a3ca-441e-adef-8f35fdc6a95c,0,0,1
4982,10007798,The University of Manchester,B,11,Computer Science and Informatics,,,,E,A CDCL-Style Calculus for Solving Non-linear Constraints,,,"Frontiers of Combining Systems, 12th International Symposium :  FroCoS 2019, Proceedings",11715,,131,,,1611-3349,10.1007/978-3-030-29007-8_8,,August,2019.0,,3.0,,,,,,,A - Computer Science,Compliant,Yes,0.0,,,,a0efdd6a-bfc3-42e8-aeb9-bafcde80d35a,0,0,1
4988,10007773,The Open University,B,11,Computer Science and Informatics,,,,D,A cell range expansion framework for closed access femtocell networks,,,Wireless Personal Communications,93,3,601,,,0929-6212,10.1007/s11277-014-2216-y,,December,2014.0,,4.0,,,,,,,,Out of scope for open access requirements,Yes,1.0,,,,96270cdb-fca6-4385-84a1-2a021b8d3dba,0,0,1
4989,10007152,University of Bedfordshire,B,11,Computer Science and Informatics,,,,D,A cell range expansion framework for closed access Femtocell networks,,,Wireless Personal Communications,93,,601,,,0929-6212,10.1007/s11277-014-2216-y,,December,2014.0,,4.0,,Yes,,,,,2 - IRAC - Institute for Research in Applicable Computing,Out of scope for open access requirements,Yes,1.0,,,,07bdae16-3e6c-4fd0-900d-40f8a6fe1a74,0,0,0
4996,10004180,Manchester Metropolitan University,B,11,Computer Science and Informatics,,,,D,A cell-based computational model of early embryogenesis coupling mechanical behaviour and gene regulation,,,Nature Communications,8,1,,13929,,2041-1723,10.1038/ncomms13929,,January,2017.0,https://e-space.mmu.ac.uk/617907/,3.0,,Yes,,,,,C - Machine Intelligence,Compliant,Yes,29.0,,,,ad1108e4-c16c-4526-93c6-0005f6038006,0,0,1
5040,10007151,University of Lincoln,B,11,Computer Science and Informatics,,,,D,A characterization of types of support between structured arguments and their relationship with support in abstract argumentation,,,International Journal of Approximate Reasoning,94,,76,,,0888-613X,10.1016/j.ijar.2017.12.008,,February,2018.0,http://doi.org/10.1016/j.ijar.2017.12.008,3.0,,,,,,,,Technical exception,Yes,2.0,,,,0e280057-f446-4767-89cc-6fccc3a84cf0,0,0,0
5062,10007775,Queen Mary University of London,B,11,Computer Science and Informatics,,,,D,A choice function hyper-heuristic framework for the allocation of maintenance tasks in Danish railways,,,Computers & Operations Research,93,,15,,,0305-0548,10.1016/j.cor.2017.09.011,,September,2017.0,,2.0,,,,,,,,Compliant,Yes,6.0,,,,615bac97-4850-4308-9fa4-84e84fb3e924,0,0,1
5092,10007786,University of Bristol,B,11,Computer Science and Informatics,,,,E,A City in Common : A Framework to Orchestrate Large-scale Citizen Engagement around Urban Issues,,,"CHI 2017 - Proceedings of the 2017 ACM SIGCHI Conference on Human Factors in Computing Systems : Explore, Innovate, Inspire",,,2282,,,,10.1145/3025453.3025915,,May,2017.0,,5.0,,,,,,,E - Bristol Interaction Group,,Yes,27.0,,,,a163e444-0388-4bc9-9d02-77cd37ca9424,0,0,1
5093,10007784,University College London,B,11,Computer Science and Informatics,,,,E,A City in Common: A Framework to Orchestrate Large-scale Citizen Engagement around Urban Issues,,,Proceedings of CHI 2017,2017-May,,2282,,,1062-9432,10.1145/3025453.3025915,,May,2017.0,,5.0,,,,,,,,Technical exception,Yes,27.0,,https://ieeexplore.ieee.org/ielx7/42/8353174/8259318/tmi-du-2787672-mm.zip?tp=&arnumber=8259318,,8c33a1e3-817a-4254-a31f-5fd6fafe1e14,0,0,1
5108,10007772,Edinburgh Napier University,B,11,Computer Science and Informatics,,,,D,A Classification and Comparison Framework for Cloud Service Brokerage Architectures,,,IEEE transactions on cloud computing,6,2,358,,,2168-7161,10.1109/tcc.2016.2537333,,March,2016.0,,4.0,,,,,,,,Out of scope for open access requirements,Yes,14.0,,,,bda4f3e5-571c-4060-aeab-9012c2f158a1,0,0,1
5115,10007148,The University of Huddersfield,B,11,Computer Science and Informatics,,,,D,A classifier fusion strategy to improve the early detection of neurodegenerative diseases,,,International Journal of Artificial Intelligence and Soft Computing,5,1,23,,,1755-4950,10.1504/IJAISC.2015.067525,,February,2015.0,,4.0,,Yes,,,,,,Out of scope for open access requirements,Yes,,,,,e681e6cf-477c-4e10-b22b-0fa106cee0a3,0,0,1
5142,10005553,Royal Holloway and Bedford New College,B,11,Computer Science and Informatics,,,,D,A closer look at adaptive regret,,,Journal of Machine Learning Research,17,23,1,,,1533-7928,,,April,2016.0,,3.0,,,,,,,,Out of scope for open access requirements,Yes,1.0,,,,8ddc7e6f-45d3-4523-8d86-92f7702c3be7,0,0,1
5143,10000886,University of Brighton,B,11,Computer Science and Informatics,,,,D,A closer look at adaptive regret,,,The Journal of Machine Learning Research,17,23,1,,,1532-4435,,,April,2016.0,,3.0,,,,,,,,Out of scope for open access requirements,Yes,1.0,,,,549c447b-b7cf-4985-b929-a6fbb84521a6,0,0,1
5147,10000961,Brunel University London,B,11,Computer Science and Informatics,,,,D,A Cloud-agnostic Queuing System to Support the Implementation of Deadline-based Application Execution Policies,,,Future Generation Computer Systems,101,,99,,,0167-739X,10.1016/j.future.2019.05.062,,June,2019.0,https://www.sciencedirect.com/science/article/pii/S0167739X19303814/pdfft?md5=65b0bdda4b80fbca7f52a7f3011067dc&pid=1-s2.0-S0167739X19303814-main.pdf,8.0,,,,,,,1 - Artificial Intelligence (AI),Compliant,Yes,3.0,,,,26cf0533-0ab6-47fd-b358-ba6efa7e7552,0,0,1
5148,10007165,The University of Westminster,B,11,Computer Science and Informatics,,,,D,A Cloud-agnostic Queuing System to Support the Implementation of Deadline-based Application Execution Policies,,Elsevier,Future Generation Computer Systems,101,,99,,,0167-739X,10.1016/j.future.2019.05.062,,June,2019.0,,8.0,,,,,,,,Compliant,Yes,3.0,,,,a7530999-8102-45ed-8f70-eb472759fc22,0,0,1
5149,10006566,The University of West London,B,11,Computer Science and Informatics,,,,D,A cloud-based remote sensing data production system,,,Future Generation Computer Systems,86,,1154,,,0167-739X,10.1016/j.future.2017.02.044,,,2017.0,,4.0,,,,,,,,Compliant,Yes,21.0,,,,855cfeb4-748b-4645-a7c2-1834ac511745,0,0,1
5165,10007141,University of Central Lancashire,B,11,Computer Science and Informatics,,,,E,A Clustering Approach for Protecting GIS Vector Data,,,CAiSE: International Conference on Advanced Information Systems Engineering,9097,,133,,,0302-9743,10.1007/978-3-319-19069-3_9,,May,2015.0,,1.0,,,,,,,,Out of scope for open access requirements,Yes,11.0,,,,5dc681db-8766-431d-8126-6ce577fd3673,0,0,1
5171,10007791,The University of Essex,B,11,Computer Science and Informatics,,,,D,A Co-Adaptive Brain-Computer Interface for End Users with Severe Motor Impairment,,,PLoS ONE,9,7,e101168,ARTN e101168,,1932-6203,10.1371/journal.pone.0101168,,July,2014.0,,5.0,,Yes,,,,,B - Brain Computer Interfaces and Neural Engineering (BCI-NE),Out of scope for open access requirements,Yes,31.0,,,,9ee65257-1a72-4e70-a191-3c0d813e26ed,0,0,1
5172,10007158,University of Southampton,B,11,Computer Science and Informatics,,,,E,A coalgebraic approach to linear-time logics,,,Foundations of Software Science and Computation Structures : FoSSaCS 2014,,,426,,,0302-9743,10.1007/978-3-642-54830-7_28,,March,2014.0,,0.0,,,,,,,,Out of scope for open access requirements,Yes,,,,,c9c78467-1519-460b-aa7e-4af1a3f38ace,0,0,1
5173,10007784,University College London,B,11,Computer Science and Informatics,,,,E,A coalgebraic decision procedure for NetKAT,,,Conference Record of the Annual ACM Symposium on Principles of Programming Languages,2015-January,,343,,,0730-8566,10.1145/2676726.2677011,,January,2015.0,,4.0,,,,,,,,Out of scope for open access requirements,Yes,26.0,,https://ndownloader.figstatic.com/files/7128245,,b1686714-4b40-4cd9-835c-97677839d1e8,0,0,1
5174,10007157,The University of Sheffield,B,11,Computer Science and Informatics,,,,D,A coalgebraic treatment of conditional transition systems with upgrades,,,Logical Methods in Computer Science (LMCS),14,1,1,,,1860-5974,10.23638/LMCS-14(1:19)2018,,February,2018.0,,4.0,,,,,,,I - Verification,Compliant,Yes,1.0,,,,bda21981-35c1-42f7-8983-c857d026ee01,0,0,1
5187,10006840,The University of Birmingham,B,11,Computer Science and Informatics,,,,E,A cognitive model of how people make decisions through interaction with visual displays,,,CHI '17 : Proceedings of the 2017 CHI Conference on Human Factors in Computing Systems,,,1205,,,,10.1145/3025453.3025596,,May,2017.0,,3.0,,,,,,,,,Yes,8.0,,,,15f96727-6a35-42d2-aeef-b56d270fb688,0,0,1
5188,10004180,Manchester Metropolitan University,B,11,Computer Science and Informatics,,,,D,A Cognitive Neural Architecture Able to Learn and Communicate through Natural Language,,,PLOS ONE,10,11,,e0140866,,1932-6203,10.1371/journal.pone.0140866,,November,2015.0,https://e-space.mmu.ac.uk/622797/,3.0,,,,,,,A - Data Science,Out of scope for open access requirements,Yes,13.0,,,,60ce9f77-8542-4ded-8126-8015df1b41dc,0,0,1
5189,10007798,The University of Manchester,B,11,Computer Science and Informatics,,,,D,A Cognitive Neural Architecture Able to Learn and Communicate through Natural Language,,,PLoS ONE,10,11,,084001,,1932-6203,10.1371/journal.pone.0140866,,November,2015.0,,3.0,,,,,,,A - Computer Science,Out of scope for open access requirements,Yes,13.0,,,,ade7be48-62de-4ccc-bdb5-897a81e93964,0,0,1
5193,10003645,King's College London,B,11,Computer Science and Informatics,,,,D,A Coherence Maximisation Process For Solving Normative Inconsistencies,,,Autonomous Agents and Multi-Agent Systems,30,4,640,,,1387-2532,10.1007/s10458-015-9300-x,,June,2015.0,,2.0,,,,,,,,Out of scope for open access requirements,Yes,2.0,,,,0d3cbbf5-a308-4ac4-9ab0-e0961d00bb0e,0,0,1
5194,10003957,Liverpool John Moores University,B,11,Computer Science and Informatics,,,,D,"A Coherence Maximisation Process For Solving Normative
Inconsistencies",,,Autonomous Agents and Multi-Agent Systems,30,4,640,,,1387-2532,10.1007/s10458-015-9300-x,,June,2015.0,,2.0,,,,,,,,Out of scope for open access requirements,Yes,2.0,,,,821ae388-4927-48e1-801f-d28816f07795,0,0,1
5218,10007762,Glasgow Caledonian University,B,11,Computer Science and Informatics,,,,D,A collision-free graph coloring MAC protocol for underwater sensor networks,,,IEEE Access,7,,39862,,,2169-3536,10.1109/ACCESS.2019.2906555,,March,2019.0,,3.0,,,,,,,,Compliant,Yes,7.0,,,,66bc5ae7-97de-4b42-9be5-376cac760826,0,0,1
5220,10005553,Royal Holloway and Bedford New College,B,11,Computer Science and Informatics,,,,D,A Colored Path Problem and Its Applications,,,ACM Transactions on Algorithms (TALG),16,4,1,47,,1549-6325,10.1145/3396573,,June,2020.0,,1.0,,,,,,,,Out of scope for open access requirements,Yes,0.0,,,,c9c71dc8-47fc-44d3-8279-78ca727d2dbc,0,0,1
5255,10007158,University of Southampton,B,11,Computer Science and Informatics,,,,D,A comfort-based approach to smart heating and air conditioning,,,ACM Transactions on Intelligent Systems and Technology,9,3,,28,,2157-6904,10.1145/3057730,,February,2018.0,,3.0,,,,,,,,Compliant,Yes,3.0,,,,2aa58393-4de4-4aea-8096-125ffbb1a805,0,0,1
5278,10007789,The University of East Anglia,B,11,Computer Science and Informatics,,,,D,A communication model to decouple the path planning and connectivity optimization and support cooperative sensing,,,IEEE Transactions on Vehicular Technology,63,8,3985,,,0018-9545,10.1109/TVT.2014.2305474,,,2014.0,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84908108493&partnerID=40&md5=885758b7ee29973d2e0b5ba587a97b24,5.0,,,,,,,,Out of scope for open access requirements,Yes,5.0,,,,eb5c268c-fe36-49fe-b47a-649c6afd34c6,0,0,1
5279,10007800,University of the West of Scotland,B,11,Computer Science and Informatics,,,,D,A Communication Model to Decouple the Path Planning and Connectivity Optimization and Support Cooperative Sensing,,,IEEE Transactions on Vehicular Technology,63,8,3985,,,0018-9545,10.1109/TVT.2014.2305474,,February,2014.0,,5.0,,,,,,,,Out of scope for open access requirements,Yes,5.0,,,,66ba0476-2677-4ba1-ab9a-9b081e5c4dd9,0,0,1
5280,10007807,University of Ulster,B,11,Computer Science and Informatics,,,,D,A Communication Model to Decouple the Path Planning and Connectivity Optimization and Support Cooperative Sensing,,,IEEE Transactions on Vehicular Technology,63,8,3985,14665033,,0018-9545,10.1109/TVT.2014.2305474,,February,2014.0,,5.0,,,,,,,C - Pervasive Computing Research Centre,Out of scope for open access requirements,Yes,5.0,,,,ab5a794a-7125-4974-9d3f-b2c8cfb841ad,0,0,1
5284,10007798,The University of Manchester,B,11,Computer Science and Informatics,,,,D,A community effort to assess and improve drug sensitivity prediction algorithms,,,Nature biotechnology,32,12,1202,,,1087-0156,10.1038/nbt.2877,,June,2014.0,,21.0,,,,,,,A - Computer Science,Out of scope for open access requirements,Yes,318.0,5.0,,,3fd55e44-d1f9-49f1-9cf3-5c0025facd75,0,0,1
5293,10007791,The University of Essex,B,11,Computer Science and Informatics,,,,D,A Compact Evolutionary Interval-Valued Fuzzy Rule-Based Classification System for the Modeling and Prediction of Real-World Financial Applications With Imbalanced Data,,,IEEE Transactions on Fuzzy Systems,23,4,973,4,,1063-6706,10.1109/tfuzz.2014.2336263,,July,2014.0,,4.0,,,,,,,A - Artificial Intelligence (AI),Out of scope for open access requirements,Yes,75.0,,,,fed57cd8-7978-4abd-8c1f-8fd2cec98a11,0,0,1
5380,10007805,University of Strathclyde,B,11,Computer Science and Informatics,,,,C,A comparison of artificial driving sounds for automated vehicles,,ACM,UbiComp '15 : Proceedings of the 2015 ACM International Joint Conference on Pervasive and Ubiquitous Computing,,,,,978-1-4503-3574-4,,10.1145/2750858.2807519,,September,2015.0,,2.0,,,,,,,,,Yes,,,,,699a3929-95d7-4cfc-992c-3cf9640ddb0f,0,0,1
5392,10007785,The University of Bradford,B,11,Computer Science and Informatics,,,,D,A Comparison of Flare Forecasting Methods. I. Results From The “All-Clear” Workshop,,,The Astrophysical Journal,829,2,89,,,1538-4357,10.3847/0004-637X/829/2/89,,,2016.0,https://iopscience.iop.org/article/10.3847/0004-637X/829/2/89,17.0,,,,,,,,Compliant,Yes,82.0,,,,7aec07f6-f6e2-4b80-8bd6-bbdd19a42cab,0,0,1
5440,10007155,University of Portsmouth,B,11,Computer Science and Informatics,,,,D,A comparison of the ability of the physiological components of Medical Emergency Team criteria and the UK National Early Warning Score (NEWS) to discriminate patients at risk of a range of adverse clinical outcomes,,,Critical Care Medicine,44,12,2171,,,0090-3493,10.1097/CCM.0000000000002000,,August,2016.0,,6.0,,Yes,,,,,A - Centre for Healthcare Modelling and Informatics,Compliant,Yes,25.0,,,,50543c00-8ffa-4e16-8a4f-6c1f4012846e,0,0,1
5442,10007773,The Open University,B,11,Computer Science and Informatics,,,,E,A comparison of the cognitive difficulties posed by SPARQL query constructs,,,22nd International Conference on Knowledge Engineering and Knowledge Management (EKAW 2020),,,3,,,,10.1007/978-3-030-61244-3_1,,September,2020.0,https://link.springer.com/chapter/10.1007/978-3-030-61244-3_1,1.0,,,,,,,,,Yes,,,,,1e1976dd-2b74-4237-b5a5-1d3162ffdd3e,0,0,1
